Downregulated,Control
21.23849735,18.99123945
19.68697532,18.84720269
20.82786256,17.66882707
19.36184223,17.80732907
19.71327543,17.80701474
19.71745975,19.84210972
21.73500978,18.16238164
20.30694048,18.97809394
19.79367026,17.27601132
19.48223562,18.69937676
20.15834649,18.84509168
19.47288241,18.96781862
19.95535526,17.6380138
21.37851763,16.79432544
18.53123454,18.15404606
18.41442749,17.65998692
17.68906789,16.76205585
19.90806253,15.41898847
20.18715127,1.589735404
20.74991042,18.7507861
19.00243739,17.49466365
18.50118872,19.15401164
19.51722443,18.11020994
19.90806437,17.50774902
19.77340855,19.12044849
