Orange,Blue,Yellow
131.838061,116.200315,148.1857035
140.0960656,104.33219,125.1149912
139.2333363,100.922505,110.1261124
120.2647402,118.0198106,101.1294913
158.9764225,154.1018581,105.5950657
122.3163849,132.2952974,146.4376941
153.1554636,124.9803742,110.9022866
148.2394015,128.9914917,127.4416485
148.5464779,85.62747816,105.1783684
136.1459907,121.1946016,147.7161798
141.6995843,102.6110582,114.2195304
108.6252822,114.9574037,109.5713778
135.7533059,98.06714833,137.6538187
128.1058339,120.3303549,129.1818481
146.4718545,125.4399419,147.5726392
118.1530223,103.5946013,112.0472393
156.8615891,158.3753198,144.9828681
127.220148,130.5911259,113.710246
143.7179673,154.5273911,122.6307046
117.7298202,118.2395473,107.0320894
176.7909585,140.9707201,109.8865191
153.2198786,116.1006475,91.3769188
142.9350712,105.6278845,123.4877951
114.2526042,122.6312462,110.7599538
162.4150992,113.4113131,94.70123629
172.3996571,114.9619581,138.5665404
137.1508902,119.9568953,114.6444418
133.9318212,122.4808291,124.6230472
96.98093214,135.6395729,105.1825959
112.2307299,169.505525,91.84145556
128.4944846,62.03231892,113.7996737
138.6494194,161.4672904,123.1764026
168.3945344,82.80117484,111.8843124
114.7964182,107.1306854,117.5003889
127.3863458,90.20760249,133.0810782
153.1310248,130.8271099,75.31949134
179.9526834,115.7814976,105.8692406
160.3168776,133.6722989,109.0742083
117.904202,113.9828812,97.81028013
129.6210486,175.4333964,117.5575488
